Month,Day,Temperature
1,1,61.5
1,2,54.5
1,3,53.0
1,4,55.5
1,5,52.5
1,6,54.0
1,7,54.0
1,8,55.5
1,9,47.5
1,10,41.0
1,11,39.5
1,12,37.0
1,13,38.5
1,14,40.0
1,15,43.0
1,16,42.5
1,17,41.5
1,18,48.5
1,19,53.0
1,20,42.0
1,21,34.0
1,22,33.5
1,23,54.0
1,24,47.0
1,25,40.5
1,26,39.0
1,27,39.5
1,28,44.5
1,29,38.0
1,30,34.0
1,31,38.0
2,1,43.0
2,2,49.5
2,3,54.0
2,4,53.0
2,5,64.0
2,6,62.5
2,7,71.5
2,8,55.0
2,9,47.0
2,10,38.5
2,11,43.5
2,12,59.5
2,13,47.0
2,14,46.5
2,15,54.0
2,16,60.5
2,17,45.5
2,18,52.0
2,19,43.5
2,20,39.5
2,21,52.0
2,22,55.0
2,23,47.0
2,24,55.5
2,25,52.0
2,26,54.0
2,27,60.5
2,28,57.0
2,29,50
2,30,50
2,31,50
3,1,63.5
3,2,59.5
3,3,56.0
3,4,43.5
3,5,39.0
3,6,38.5
3,7,44.0
3,8,51.5
3,9,52.5
3,10,60.0
3,11,60.5
3,12,56.0
3,13,55.0
3,14,62.0
3,15,60.5
3,16,50.0
3,17,50.0
3,18,51.5
3,19,47.5
3,20,46.5
3,21,52.0
3,22,52.5
3,23,55.0
3,24,56.5
3,25,61.0
3,26,56.0
3,27,51.0
3,28,51.0
3,29,58.0
3,30,64.0
3,31,54.5
4,1,47.0
4,2,52.5
4,3,55.0
4,4,58.0
4,5,61.5
4,6,64.5
4,7,70.5
4,8,69.5
4,9,68.0
4,10,68.5
4,11,69.5
4,12,71.0
4,13,72.0
4,14,67.0
4,15,56.0
4,16,57.5
4,17,63.0
4,18,69.0
4,19,60.5
4,20,48.5
4,21,58.5
4,22,62.0
4,23,68.0
4,24,71.0
4,25,69.0
4,26,63.5
4,27,63.0
4,28,70.0
4,29,70.5
4,30,72.0
5,1,73.0
5,2,72.5
5,3,74.0
5,4,75.0
5,5,72.5
5,6,71.0
5,7,70.0
5,8,74.5
5,9,72.5
5,10,76.0
5,11,75.0
5,12,70.5
5,13,66.0
5,14,61.5
5,15,63.0
5,16,70.5
5,17,75.0
5,18,77.0
5,19,77.5
5,20,78.0
5,21,76.0
5,22,79.0
5,23,79.5
5,24,82.0
5,25,84.0
5,26,82.5
5,27,81.0
5,28,83.0
5,29,84.0
5,30,83.5
5,31,81.0
6,1,75.5
6,2,77.5
6,3,80.0
6,4,78.5
6,5,79.0
6,6,75.0
6,7,79.0
6,8,70.0
6,9,74.0
6,10,76.5
6,11,78.0
6,12,67.5
6,13,72.0
6,14,68.5
6,15,71.5
6,16,78.0
6,17,81.5
6,18,79.0
6,19,78.5
6,20,79.0
6,21,80.5
6,22,79.0
6,23,80.0
6,24,79.0
6,25,77.5
6,26,78.0
6,27,79.0
6,28,78.0
6,29,79.0
6,30,82.5
7,1,83.5
7,2,84.0
7,3,84.5
7,4,84.5
7,5,83.0
7,6,83.0
7,7,84.0
7,8,85.0
7,9,82.0
7,10,84.0
7,11,82.5
7,12,85.0
7,13,83.5
7,14,84.0
7,15,84.0
7,16,86.0
7,17,84.0
7,18,83.0
7,19,84.5
7,20,81.5
7,21,82.0
7,22,81.5
7,23,77.0
7,24,75.5
7,25,75.5
7,26,76.5
7,27,77.5
7,28,79.0
7,29,81.0
7,30,81.0
7,31,81.0
8,1,83.0
8,2,79.5
8,3,80.5
8,4,76.5
8,5,79.0
8,6,80.0
8,7,81.5
8,8,82.0
8,9,83.0
8,10,83.5
8,11,83.5
8,12,83.5
8,13,84.0
8,14,83.5
8,15,83.5
8,16,81.0
8,17,82.5
8,18,84.0
8,19,82.0
8,20,80.0
8,21,82.5
8,22,83.0
8,23,82.0
8,24,78.0
8,25,72.0
8,26,74.5
8,27,75.5
8,28,80.5
8,29,73.5
8,30,74.5
8,31,76.5
9,1,78.5
9,2,79.5
9,3,80.0
9,4,82.0
9,5,84.0
9,6,81.0
9,7,82.5
9,8,82.0
9,9,81.5
9,10,83.0
9,11,82.0
9,12,83.5
9,13,83.5
9,14,78.0
9,15,79.0
9,16,81.0
9,17,81.5
9,18,74.5
9,19,72.0
9,20,69.5
9,21,71.0
9,22,72.0
9,23,74.0
9,24,80.5
9,25,77.0
9,26,80.0
9,27,83.0
9,28,80.0
9,29,81.0
9,30,82.0
10,1,82.0
10,2,84.0
10,3,84.5
10,4,82.5
10,5,69.5
10,6,71.5
10,7,73.5
10,8,74.5
10,9,67.5
10,10,69.5
10,11,67.5
10,12,72.0
10,13,66.0
10,14,68.0
10,15,66.5
10,16,63.5
10,17,57.0
10,18,57.0
10,19,53.5
10,20,67.5
10,21,66.0
10,22,64.0
10,23,57.5
10,24,57.0
10,25,63.5
10,26,70.5
10,27,65.5
10,28,62.5
10,29,61.0
10,30,67.5
10,31,57.5
11,1,57
11,2,55
11,3,48.0
11,4,48.5
11,5,60.0
11,6,57.0
11,7,60.5
11,8,51.0
11,9,43.0
11,10,50.0
11,11,53.5
11,12,42.5
11,13,35.5
11,14,38.0
11,15,45.0
11,16,54.5
11,17,55.5
11,18,55.0
11,19,53.0
11,20,53.5
11,21,52.5
11,22,55.5
11,23,57.0
11,24,49.0
11,25,48.5
11,26,49.5
11,27,65.5
11,28,57.5
11,29,59.0
11,30,63.0
12,1,59.0
12,2,43.5
12,3,43.0
12,4,48.5
12,5,54.5
12,6,51.0
12,7,55.0
12,8,49.0
12,9,47.5
12,10,58.5
12,11,45.5
12,12,40.5
12,13,40.0
12,14,48.5
12,15,50.0
12,16,62.0
12,17,52.0
12,18,41.5
12,19,39.5
12,20,41.0
12,21,46.0
12,22,43.0
12,23,49.5
12,24,58.5
12,25,53.0
12,26,50.0
12,27,56.0
12,28,59.5
12,29,66.0
12,30,58.0
12,31,48.0